name,image,image_local,wiki,icon,icon_local,personality,species,birthday,catchphrase,gender,coffee,milk,milk_numeric,sugar,sugar_numeric,song,style,rank,tier,primary_col,secondary_col,tertiary_col,col_guess_20,col_guess_10
Buck,https://vignette.wikia.nocookie.net/animalcrossing/images/b/b2/NH-Buck_poster.png/revision/latest?cb=20200328184346,villager_models/Buck.png,/wiki/Buck,https://nookipedia.com/w/images/1/16/Buck_NH_Icon.png,villager_icons/Buck.png,Jock,Horse,April 4th,pardner,Male,Mocha,Little milk,1,One spoon,1,My Place,Sporty,228,5,#feedc4,#798040,#fefefe,Pastel Pink/Orange,"Yellows, Oranges & Ochres"
Bud,https://vignette.wikia.nocookie.net/animalcrossing/images/a/ab/NH-Bud_poster.png/revision/latest?cb=20200328184352,villager_models/Bud.png,/wiki/Bud,https://nookipedia.com/w/images/9/95/Bud_NH_Icon.png,villager_icons/Bud.png,Jock,Lion,August 8th,shredded,Male,Blue Mountain,No milk,0,No sugar,0,K.K. Ska,Sporty,229,5,#a05212,#fccc00,#bb7207,Maroon,Browns and Maroons
Bunnie,https://vignette.wikia.nocookie.net/animalcrossing/images/8/83/NH-Bunnie_poster.png/revision/latest?cb=20200410185724,villager_models/Bunnie.png,/wiki/Bunnie,https://nookipedia.com/w/images/d/d0/Bunnie_NH_Icon.png,villager_icons/Bunnie.png,Peppy,Rabbit,May 9th,tee-hee,Female,Blue Mountain,Lots of milk,3,Three spoons,3,K.K. Aria,Cute,60,3,#fff6c7,#f53200,#ffeb4c,White/Lightest Pastel,White/Light Pastels
Butch,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9a/NH-Butch_poster.png/revision/latest?cb=20200328184412,villager_models/Butch.png,/wiki/Butch,https://nookipedia.com/w/images/c/cc/Butch_NH_Icon.png,villager_icons/Butch.png,Cranky,Dog,November 1st,ROOOOOWF,Male,House Blend,No milk,0,No sugar,0,K.K. Fusion,Sporty,179,5,#ffb628,#3b1a03,#41240e,Yellow/Ochre,"Yellows, Oranges & Ochres"
Buzz,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/NH-Buzz_poster.png/revision/latest?cb=20200410191156,villager_models/Buzz.png,/wiki/Buzz,https://nookipedia.com/w/images/a/aa/Buzz_NH_Icon.png,villager_icons/Buzz.png,Cranky,Eagle,December 7th,captain,Male,Blue Mountain,Lots of milk,3,Three spoons,3,K.K. Rally,Unknown,288,6,#c46b00,#ffb800,#1b1917,Red,Reds
Cally,https://vignette.wikia.nocookie.net/animalcrossing/images/0/01/NH-Cally_poster.png/revision/latest?cb=20200410184015,villager_models/Cally.png,/wiki/Cally,https://nookipedia.com/w/images/4/4c/Cally_NH_Icon.png,villager_icons/Cally.png,Normal,Squirrel,September 4th,WHEE,Female,Killimanjaro,Little milk,1,One spoon,1,K.K. Love Song,Official,141,5,#f3de8c,#ff6969,#bb7b46,Pastel Pink/Orange,"Yellows, Oranges & Ochres"
Camofrog,https://vignette.wikia.nocookie.net/animalcrossing/images/9/91/NH-Camofrog_poster.png/revision/latest?cb=20200328192559,villager_models/Camofrog.png,/wiki/Camofrog,https://nookipedia.com/w/images/2/22/Camofrog_NH_Icon.png,villager_icons/Camofrog.png,Cranky,Frog,June 5th,ten-hut,Male,Blue Mountain,Regular milk,2,Two spoons,2,K.K. Rock,Rock n roll,113,4,#cb9e67,#36be7f,#edce7a,Pastel Brown/Green,Greens
Canberra,https://vignette.wikia.nocookie.net/animalcrossing/images/f/fd/NH-Canberra_poster.png/revision/latest?cb=20200328192607,villager_models/Canberra.png,/wiki/Canberra,https://nookipedia.com/w/images/c/c7/Canberra_NH_Icon.png,villager_icons/Canberra.png,Sisterly,Koala,May 14th,nuh uh,Female,Killimanjaro,Lots of milk,3,Three spoons,3,K.K. House,Sporty,288,6,#ffb280,#fefefe,#e8c187,Orange,"Yellows, Oranges & Ochres"
Candi,https://vignette.wikia.nocookie.net/animalcrossing/images/c/ce/NH-Candi_poster.png/revision/latest?cb=20200410192349,villager_models/Candi.png,/wiki/Candi,https://nookipedia.com/w/images/1/11/Candi_NH_Icon.png,villager_icons/Candi.png,Peppy,Mouse,April 13th,sweetie,Female,Killimanjaro,Lots of milk,3,Three spoons,3,K.K. Ragtime,Historical,288,6,#ff8fb8,#5898e8,#ff92b6,Pastel Pink,Pinks
Carmen,https://vignette.wikia.nocookie.net/animalcrossing/images/1/1b/NH-Carmen_poster.png/revision/latest?cb=20200410185152,villager_models/Carmen.png,/wiki/Carmen_(rabbit),https://nookipedia.com/w/images/5/54/Carmen_NH_Icon.png,villager_icons/Carmen.png,Peppy,Rabbit,January 6th,nougat,Female,Blue Mountain,Lots of milk,3,Three spoons,3,K.K. Technopop,Modern,180,5,#ffffff,#6d361b,#8effff,White/Lightest Pastel,White/Light Pastels
Caroline,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a5/NH-Caroline_poster.png/revision/latest?cb=20200410184152,villager_models/Caroline.png,/wiki/Caroline,https://nookipedia.com/w/images/e/ed/Caroline_NH_Icon.png,villager_icons/Caroline.png,Normal,Squirrel,July 15th,hulaaaa,Female,Killimanjaro,Little milk,1,One spoon,1,Dj K.K.,Cute,114,4,#fe2d23,#fefe26,#0271ff,Red,Reds
Carrie,https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-Carrie_poster.png/revision/latest?cb=20200328192649,villager_models/Carrie.png,/wiki/Carrie,https://nookipedia.com/w/images/0/06/Carrie_NH_Icon.png,villager_icons/Carrie.png,Normal,Kangaroo,December 5th,little one,Female,Mocha,No milk,0,No sugar,0,K.K. Lullaby,Unknown,288,6,#e0941b,#0e0e0d,#e868c8,Yellow/Ochre,"Yellows, Oranges & Ochres"
Cashmere,https://vignette.wikia.nocookie.net/animalcrossing/images/8/8a/NH-Cashmere_poster.png/revision/latest?cb=20200410184707,villager_models/Cashmere.png,/wiki/Cashmere,https://nookipedia.com/w/images/d/d5/Cashmere_NH_Icon.png,villager_icons/Cashmere.png,Snooty,Sheep,April 2nd,baaaby,Female,House Blend,Regular milk,2,Two spoons,2,K.K. Country,Unknown,181,5,#737e3d,#f8a000,#a86000,Grey Blue/Green,Greys
Celia,https://vignette.wikia.nocookie.net/animalcrossing/images/8/8a/NH-Celia_poster.png/revision/latest?cb=20200410190945,villager_models/Celia.png,/wiki/Celia,https://nookipedia.com/w/images/7/77/Celia_NH_Icon.png,villager_icons/Celia.png,Normal,Eagle,March 25th,feathers,Female,Mocha,Regular milk,2,Two spoons,2,K.K. Aria,Cute,288,6,#f7fdf6,#fffe16,#71fd62,White/Lightest Pastel,White/Light Pastels
Cesar,https://vignette.wikia.nocookie.net/animalcrossing/images/f/fd/NH-Cesar_poster.png/revision/latest?cb=20200328192708,villager_models/Cesar.png,/wiki/Cesar,https://nookipedia.com/w/images/1/13/Cesar_NH_Icon.png,villager_icons/Cesar.png,Cranky,Gorilla,September 6th,highness,Male,House Blend,Little milk,1,One spoon,1,K.K. Lament,Historical,288,6,#fd7a3c,#211a14,#fea44d,Orange,"Yellows, Oranges & Ochres"
Chadder,https://vignette.wikia.nocookie.net/animalcrossing/images/3/33/NH-Chadder_poster.png/revision/latest?cb=20200410192119,villager_models/Chadder.png,/wiki/Chadder,https://nookipedia.com/w/images/1/14/Chadder_NH_Icon.png,villager_icons/Chadder.png,Smug,Mouse,December 15th,fromage,Male,Killimanjaro,Lots of milk,3,Three spoons,3,K.K. Soul,Official,230,5,#feff16,#ffff16,#ffff17,Yellow/Ochre,"Yellows, Oranges & Ochres"
Charlise,https://vignette.wikia.nocookie.net/animalcrossing/images/7/71/NH-Charlise_poster.png/revision/latest?cb=20200328192721,villager_models/Charlise.png,/wiki/Charlise,https://nookipedia.com/w/images/2/2a/Charlise_NH_Icon.png,villager_icons/Charlise.png,Sisterly,Bear,April 17th,urgh,Female,Killimanjaro,Lots of milk,3,Three spoons,3,Mr. K.K.,Sporty,288,6,#08f86c,#fefeb9,#08f76b,Neon Blue/Green,"Mid Blues, Cyans & Teals"
Cheri,https://vignette.wikia.nocookie.net/animalcrossing/images/5/5c/NH-Cheri_poster.png/revision/latest?cb=20200328192728,villager_models/Cheri.png,/wiki/Cheri,https://nookipedia.com/w/images/d/d5/Cheri_NH_Icon.png,villager_icons/Cheri.png,Peppy,Cub,March 17th,tralala,Female,Mocha,Lots of milk,3,Three spoons,3,[K.K. Synthk.k. Disco (Nh)],Sporty,288,6,#ee605c,#fef9c0,#912020,Orange,"Yellows, Oranges & Ochres"
Cherry,https://vignette.wikia.nocookie.net/animalcrossing/images/6/6e/NH-Cherry_poster.png/revision/latest?cb=20200328192735,villager_models/Cherry.png,/wiki/Cherry_(villager),https://nookipedia.com/w/images/6/67/Cherry_NH_Icon.png,villager_icons/Cherry.png,Sisterly,Dog,May 11th,what what,Female,Mocha,Regular milk,2,Two spoons,2,K.K. Fusion,Rock n roll,43,3,#fe4769,#8f7a79,#433b3b,Orange,"Yellows, Oranges & Ochres"
Chester,https://vignette.wikia.nocookie.net/animalcrossing/images/c/cf/NH-Chester_poster.png/revision/latest?cb=20200328192748,villager_models/Chester.png,/wiki/Chester,https://nookipedia.com/w/images/6/6c/Chester_NH_Icon.png,villager_icons/Chester.png,Lazy,Cub,August 6th,rookie,Male,House Blend,Little milk,1,One spoon,1,Imperial K.K.,Basic,115,4,#fefcdf,#1c3e63,#1d3d63,White/Lightest Pastel,White/Light Pastels
Chevre,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f4/NH-Chevre_poster.png/revision/latest?cb=20200328192755,villager_models/Chevre.png,/wiki/Chevre,https://nookipedia.com/w/images/c/cf/Chevre_NH_Icon.png,villager_icons/Chevre.png,Normal,Goat,March 6th,la baa,Female,Blue Mountain,No milk,0,No sugar,0,K.K. Chorale,Cute,101,4,#fefefe,#ffffff,#334a62,White/Lightest Pastel,White/Light Pastels
Chief,https://vignette.wikia.nocookie.net/animalcrossing/images/5/56/NH-Chief_poster.png/revision/latest?cb=20200410183536,villager_models/Chief.png,/wiki/Chief,https://nookipedia.com/w/images/7/77/Chief_NH_Icon.png,villager_icons/Chief.png,Cranky,Wolf,December 19th,harrumph,Male,House Blend,Lots of milk,3,Three spoons,3,Dj K.K.,Iconic,20,2,#fead06,#ffffff,#ffe98d,Yellow/Ochre,"Yellows, Oranges & Ochres"
Chops,https://vignette.wikia.nocookie.net/animalcrossing/images/6/6d/NH-Chops_poster.png/revision/latest?cb=20200410185841,villager_models/Chops.png,/wiki/Chops,https://nookipedia.com/w/images/3/37/Chops_NH_Icon.png,villager_icons/Chops.png,Smug,Pig,October 13th,zoink,Male,Mocha,No milk,0,No sugar,0,K.K. Moody,Ornate,288,6,#f0eca2,#f19750,#b0a228,Pastel Pink/Orange,"Yellows, Oranges & Ochres"
Chow,https://vignette.wikia.nocookie.net/animalcrossing/images/b/b7/NH-Chow_poster.png/revision/latest?cb=20200328192817,villager_models/Chow.png,/wiki/Chow,https://nookipedia.com/w/images/2/25/Chow_NH_Icon.png,villager_icons/Chow.png,Cranky,Bear,July 22nd,aiya,Male,House Blend,Regular milk,2,Two spoons,2,K.K. Steppe,Flashy,182,5,#ffbdbe,#172e46,#ffbdbd,Pastel Pink/Orange,"Yellows, Oranges & Ochres"
Chrissy,https://vignette.wikia.nocookie.net/animalcrossing/images/1/1f/NH-Chrissy_poster.png/revision/latest?cb=20200410185303,villager_models/Chrissy.png,/wiki/Chrissy,https://nookipedia.com/w/images/9/9e/Chrissy_NH_Icon.png,villager_icons/Chrissy.png,Peppy,Rabbit,August 28th,sparkles,Female,Blue Mountain,Lots of milk,3,Three spoons,3,K.K. Waltz,Cute,51,3,#fbf7e5,#ffffff,#fec0fe,White/Lightest Pastel,White/Light Pastels
Claude,https://vignette.wikia.nocookie.net/animalcrossing/images/1/19/NH-Claude_poster.png/revision/latest?cb=20200410185347,villager_models/Claude.png,/wiki/Claude,https://nookipedia.com/w/images/e/e9/Claude_NH_Icon.png,villager_icons/Claude.png,Lazy,Rabbit,December 3rd,hopalong,Male,House Blend,No milk,0,No sugar,0,Pondering,Unknown,142,5,#a06020,#f8f8b0,#3ea1b0,Maroon,Browns and Maroons
Claudia,https://vignette.wikia.nocookie.net/animalcrossing/images/b/b1/NH-Claudia_poster.png/revision/latest?cb=20200410183623,villager_models/Claudia.png,/wiki/Claudia,https://nookipedia.com/w/images/a/a0/Claudia_NH_Icon.png,villager_icons/Claudia.png,Snooty,Tiger,November 22nd,ooh la la,Female,Mocha,Little milk,1,One spoon,1,K.K. Synth,Ornate,288,6,#ff78d1,#ffbeff,#ff79d3,Pastel Pink,Pinks
Clay,https://vignette.wikia.nocookie.net/animalcrossing/images/0/0a/NH-Clay_poster.png/revision/latest?cb=20200328192903,villager_models/Clay.png,/wiki/Clay,https://nookipedia.com/w/images/4/4c/Clay_NH_Icon.png,villager_icons/Clay.png,Lazy,Hamster,October 19th,thump,Male,Mocha,No milk,0,No sugar,0,K.K. Safari,Historical,288,6,#b1533a,#b1543a,#ff9025,Maroon,Browns and Maroons
Cleo,https://vignette.wikia.nocookie.net/animalcrossing/images/5/5e/NH-Cleo_poster.png/revision/latest?cb=20200328192909,villager_models/Cleo.png,/wiki/Cleo,https://nookipedia.com/w/images/c/cc/Cleo_NH_Icon.png,villager_icons/Cleo.png,Snooty,Horse,February 9th,sugar,Female,Mocha,Little milk,1,One spoon,1,[K.K. Bossa (Animal Crossing)K.k. Synth (New Leaf)],Unknown,231,5,#f2f3f4,#8078d8,#f8c090,White/Lightest Pastel,White/Light Pastels
Clyde,https://vignette.wikia.nocookie.net/animalcrossing/images/9/93/NH-Clyde_poster.png/revision/latest?cb=20200328192916,villager_models/Clyde.png,/wiki/Clyde,https://nookipedia.com/w/images/0/0c/Clyde_NH_Icon.png,villager_icons/Clyde.png,Lazy,Horse,May 1st,clip-clawp,Male,House Blend,Lots of milk,3,Three spoons,3,K.K. Dixie,Flashy,232,5,#f8f9fa,#ecfb43,#0c0c0c,White/Lightest Pastel,White/Light Pastels
Coach,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/NH-Coach_poster.png/revision/latest?cb=20200328192922,villager_models/Coach.png,/wiki/Coach,https://nookipedia.com/w/images/a/a2/Coach_NH_Icon.png,villager_icons/Coach.png,Jock,Bull,April 29th,stubble,Male,House Blend,Lots of milk,3,Three spoons,3,Marine Song 2001,Sporty,288,6,#a09f9f,#ffe81e,#443117,Pastel Brown/Green,Greens
Cobb,https://vignette.wikia.nocookie.net/animalcrossing/images/6/6d/NH-Cobb_poster.png/revision/latest?cb=20200410190041,villager_models/Cobb.png,/wiki/Cobb,https://nookipedia.com/w/images/5/53/Cobb_NH_Icon.png,villager_icons/Cobb.png,Jock,Pig,October 7th,hot dog,Male,Blue Mountain,Little milk,1,One spoon,1,Pondering,Official,233,5,#b4d693,#ffbec6,#424e50,Pastel Brown/Green,Greens
Coco,https://vignette.wikia.nocookie.net/animalcrossing/images/3/37/NH-Coco_poster.png/revision/latest?cb=20200410185633,villager_models/Coco.png,/wiki/Coco,https://nookipedia.com/w/images/3/32/Coco_NH_Icon.png,villager_icons/Coco.png,Normal,Rabbit,March 1st,doyoing,Female,Mocha,Regular milk,2,Two spoons,2,K.K. Dirge,Iconic,19,2,#e4b67f,#1a1c1f,#e5b77e,Pastel Pink/Orange,"Yellows, Oranges & Ochres"
Cole,https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/NH-Cole_poster.png/revision/latest?cb=20200410185107,villager_models/Cole.png,/wiki/Cole,https://nookipedia.com/w/images/d/d7/Cole_NH_Icon.png,villager_icons/Cole.png,Lazy,Rabbit,August 10th,duuude,Male,House Blend,No milk,0,No sugar,0,Spring Blossoms,Modern,234,5,#2b2b2b,#2a2b2b,#fecf90,Dark Grey/Black,Black and Dark Colours
Colton,https://vignette.wikia.nocookie.net/animalcrossing/images/0/04/NH-Colton_poster.png/revision/latest?cb=20200328192957,villager_models/Colton.png,/wiki/Colton,https://nookipedia.com/w/images/6/6a/Colton_NH_Icon.png,villager_icons/Colton.png,Smug,Horse,May 22nd,check it,Male,Killimanjaro,No milk,0,No sugar,0,Only Me,Ornate,69,4,#ffd9cd,#ffe734,#f9f8f9,Pastel Pink/Orange,"Yellows, Oranges & Ochres"
Cookie,https://vignette.wikia.nocookie.net/animalcrossing/images/8/85/NH-Cookie_poster.png/revision/latest?cb=20200328193004,villager_models/Cookie.png,/wiki/Cookie,https://nookipedia.com/w/images/4/49/Cookie_NH_Icon.png,villager_icons/Cookie.png,Peppy,Dog,June 18th,arfer,Female,House Blend,No milk,0,No sugar,0,Dj K.K.,Cute,116,4,#fffefe,#fec6e2,#663802,White/Lightest Pastel,White/Light Pastels
Cousteau,https://vignette.wikia.nocookie.net/animalcrossing/images/4/41/NH-Cousteau_poster.png/revision/latest?cb=20200328193012,villager_models/Cousteau.png,/wiki/Cousteau,https://nookipedia.com/w/images/5/5e/Cousteau_NH_Icon.png,villager_icons/Cousteau.png,Jock,Frog,December 17th,oui oui,Male,Blue Mountain,Regular milk,2,Two spoons,2,Imperial K.K.,Iconic,235,5,#feed06,#fefeff,#20201e,Yellow/Ochre,"Yellows, Oranges & Ochres"
Cranston,https://vignette.wikia.nocookie.net/animalcrossing/images/7/75/NH-Cranston_poster.png/revision/latest?cb=20200410191717,villager_models/Cranston.png,/wiki/Cranston,https://nookipedia.com/w/images/0/0b/Cranston_NH_Icon.png,villager_icons/Cranston.png,Lazy,Ostrich,September 23rd,sweatband,Male,House Blend,No milk,0,No sugar,0,Steep Hill,Modern,117,4,#fefeff,#fe6c37,#ffffff,White/Lightest Pastel,White/Light Pastels
Croque,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9a/NH-Croque_poster.png/revision/latest?cb=20200328193024,villager_models/Croque.png,/wiki/Croque,https://nookipedia.com/w/images/8/83/Croque_NH_Icon.png,villager_icons/Croque.png,Cranky,Frog,July 18th,as if,Male,Killimanjaro,No milk,0,No sugar,0,K.K. Jongara,Iconic,288,6,#feffff,#ff4e1e,#ffffff,White/Lightest Pastel,White/Light Pastels
Cube,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c6/NH-Cube_poster.png/revision/latest?cb=20200416233224,villager_models/Cube.png,/wiki/Cube,https://nookipedia.com/w/images/8/83/Cube_NH_Icon.png,villager_icons/Cube.png,Lazy,Penguin,January 29th,d-d-dude,Male,House Blend,Little milk,1,One spoon,1,K.K. Technopop,Cute,143,5,#171717,#fefefe,#0a0a0a,Dark Grey/Black,Black and Dark Colours
Curlos,https://vignette.wikia.nocookie.net/animalcrossing/images/1/15/NH-Curlos_poster.png/revision/latest?cb=20200410184634,villager_models/Curlos.png,/wiki/Curlos,https://nookipedia.com/w/images/9/99/Curlos_NH_Icon.png,villager_icons/Curlos.png,Smug,Sheep,May 8th,shearly,Male,Killimanjaro,Lots of milk,3,Three spoons,3,K.K. Samba,Rock n roll,288,6,#f0c003,#582100,#f7a303,Yellow/Ochre,"Yellows, Oranges & Ochres"
Curly,https://vignette.wikia.nocookie.net/animalcrossing/images/1/14/NH-Curly_poster.png/revision/latest?cb=20200410190319,villager_models/Curly.png,/wiki/Curly,https://nookipedia.com/w/images/d/d2/Curly_NH_Icon.png,villager_icons/Curly.png,Jock,Pig,July 26th,nyoink,Male,Blue Mountain,Little milk,1,One spoon,1,K.K. Reggae,Basic,288,6,#feadc8,#ffabc7,#ffe5dc,Pastel Pink/Orange,"Yellows, Oranges & Ochres"
Curt,https://vignette.wikia.nocookie.net/animalcrossing/images/e/ef/NH-Curt_poster.png/revision/latest?cb=20200328193051,villager_models/Curt.png,/wiki/Curt,https://nookipedia.com/w/images/8/8f/Curt_NH_Icon.png,villager_icons/Curt.png,Cranky,Bear,July 1st,fuzzball,Male,Mocha,No milk,0,No sugar,0,K.K. Lament,Iconic,102,4,#fefec0,#839fa8,#1d4057,White/Lightest Pastel,White/Light Pastels
Cyd,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9b/NH-Cyd_poster.png/revision/latest?cb=20200328193058,villager_models/Cyd.png,/wiki/Cyd,https://nookipedia.com/w/images/0/06/Cyd_NH_Icon.png,villager_icons/Cyd.png,Cranky,Elephant,June 9th,rockin',Male,Unknown,Unknown,NA,Unknown,NA,K.K. Metal,Unknown,144,5,#ee4856,#4d5150,#ef4856,Orange,"Yellows, Oranges & Ochres"
Cyrano,https://vignette.wikia.nocookie.net/animalcrossing/images/6/65/NH-Cyrano_poster.png/revision/latest?cb=20200328193104,villager_models/Cyrano.png,/wiki/Cyrano,https://nookipedia.com/w/images/a/ae/Cyrano_NH_Icon.png,villager_icons/Cyrano.png,Cranky,Anteater,March 9th,ah-CHOO,Male,Killimanjaro,Little milk,1,One spoon,1,K.K. Faire,Iconic,183,5,#fec504,#06578e,#ef9901,Yellow/Ochre,"Yellows, Oranges & Ochres"
Daisy,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a8/NH-Daisy_poster.png/revision/latest?cb=20200328200822,villager_models/Daisy.png,/wiki/Daisy,https://nookipedia.com/w/images/d/d5/Daisy_NH_Icon.png,villager_icons/Daisy.png,Normal,Dog,November 16th,bow-WOW,Female,Blue Mountain,Lots of milk,3,Three spoons,3,K.K. Soul,Basic,79,4,#f7f5df,#fefefe,#f4f4de,White/Lightest Pastel,White/Light Pastels
Deena,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f5/NH-Deena_poster.png/revision/latest?cb=20200328200829,villager_models/Deena.png,/wiki/Deena,https://nookipedia.com/w/images/d/d2/Deena_NH_Icon.png,villager_icons/Deena.png,Normal,Duck,June 27th,woowoo,Female,Killimanjaro,Little milk,1,One spoon,1,Mr. K.K.,Modern,236,5,#9d9d44,#ce7c5f,#5e4808,Grey Blue/Green,Greys
Deirdre,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c0/NH-Deirdre_poster.png/revision/latest?cb=20200328200836,villager_models/Deirdre.png,/wiki/Deirdre,https://nookipedia.com/w/images/c/c8/Deirdre_NH_Icon.png,villager_icons/Deirdre.png,Sisterly,Deer,May 4th,whatevs,Female,Blue Mountain,No milk,0,No sugar,0,K.K. Cruisin',Historical,118,4,#9a8b89,#604948,#bdaaa9,Grey Blue/Green,Greys
Del,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c2/NH-Del_poster.png/revision/latest?cb=20200328200842,villager_models/Del.png,/wiki/Del,https://nookipedia.com/w/images/4/44/Del_NH_Icon.png,villager_icons/Del.png,Cranky,Alligator,May 27th,gronk,Male,House Blend,No milk,0,No sugar,0,K.K. March,Sporty,288,6,#48416a,#dc4141,#524d77,Mid Grey,Greys
Deli,https://vignette.wikia.nocookie.net/animalcrossing/images/0/03/NH-Deli_poster.png/revision/latest?cb=20200410192638,villager_models/Deli.png,/wiki/Deli,https://nookipedia.com/w/images/3/35/Deli_NH_Icon.png,villager_icons/Deli.png,Lazy,Monkey,May 24th,monch,Male,Blue Mountain,Lots of milk,3,Three spoons,3,K.K. Marathon,Iconic,237,5,#756740,#fff1bc,#fff2bc,Maroon,Browns and Maroons
Derwin,https://vignette.wikia.nocookie.net/animalcrossing/images/9/95/NH-Derwin_poster.png/revision/latest?cb=20200328200856,villager_models/Derwin.png,/wiki/Derwin,https://nookipedia.com/w/images/b/b1/Derwin_NH_Icon.png,villager_icons/Derwin.png,Lazy,Duck,May 25th,derrrrr,Male,House Blend,No milk,0,No sugar,0,The K. Funk,Official,184,5,#3185ff,#fea53f,#ffed57,Mid Blue,"Mid Blues, Cyans & Teals"
Diana,https://vignette.wikia.nocookie.net/animalcrossing/images/1/10/NH-Diana_poster.png/revision/latest?cb=20200328200903,villager_models/Diana.png,/wiki/Diana,https://nookipedia.com/w/images/b/b2/Diana_NH_Icon.png,villager_icons/Diana.png,Snooty,Deer,January 4th,no doy,Female,Killimanjaro,Regular milk,2,Two spoons,2,Stale Cupcakes,Iconic,6,1,#fffaff,#d79ceb,#d7ffff,White/Lightest Pastel,White/Light Pastels
Diva,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e7/NH-Diva_poster.png/revision/latest?cb=20200328200909,villager_models/Diva.png,/wiki/Diva,https://nookipedia.com/w/images/f/f0/Diva_NH_Icon.png,villager_icons/Diva.png,Sisterly,Frog,October 2nd,ya know,Female,Killimanjaro,No milk,0,No sugar,0,K.K.  Bazaar,Ornate,288,6,#afa2ff,#4a4186,#726e97,Purple,Dark Blues and Purples
Dizzy,https://vignette.wikia.nocookie.net/animalcrossing/images/6/65/NH-Dizzy_poster.png/revision/latest?cb=20200328200915,villager_models/Dizzy.png,/wiki/Dizzy,https://nookipedia.com/w/images/5/50/Dizzy_NH_Icon.png,villager_icons/Dizzy.png,Lazy,Elephant,January 14th,woo-oo,Male,Blue Mountain,Lots of milk,3,Three spoons,3,K.K. Gumbo,Basic,119,4,#92a8d4,#92a8d3,#91a7d3,Pastel/Muted Blue,"Mid Blues, Cyans & Teals"
Dobie,https://vignette.wikia.nocookie.net/animalcrossing/images/9/90/NH-Dobie_poster.png/revision/latest?cb=20200410183359,villager_models/Dobie.png,/wiki/Dobie,https://nookipedia.com/w/images/9/94/Dobie_NH_Icon.png,villager_icons/Dobie.png,Cranky,Wolf,February 17th,ohmmm,Male,Mocha,Little milk,1,One spoon,1,K.K. Lament,Official,49,3,#687050,#d8e0c0,#202810,Mid Grey,Greys
Doc,https://vignette.wikia.nocookie.net/animalcrossing/images/5/52/NH-Doc_poster.png/revision/latest?cb=20200410185403,villager_models/Doc.png,/wiki/Doc,https://nookipedia.com/w/images/5/57/Doc_NH_Icon.png,villager_icons/Doc.png,Lazy,Rabbit,March 16th,ol' bunny,Male,Killimanjaro,Little milk,1,One spoon,1,Pondering,Official,288,6,#55c6ff,#ffff55,#55c7ff,Pastel/Muted Blue,"Mid Blues, Cyans & Teals"
Dom,https://vignette.wikia.nocookie.net/animalcrossing/images/b/b2/NH-Dom_poster.png/revision/latest?cb=20200410184416,villager_models/Dom.png,/wiki/Dom,https://nookipedia.com/w/images/9/95/Dom_NH_Icon.png,villager_icons/Dom.png,Jock,Sheep,March 18th,indeedaroo,Male,Unknown,Unknown,NA,Unknown,NA,K.K. Country,Unknown,36,2,#ffcdb7,#fefdfb,#fd5e58,Pastel Pink/Orange,"Yellows, Oranges & Ochres"
Dora,https://vignette.wikia.nocookie.net/animalcrossing/images/e/ed/NH-Dora_poster.png/revision/latest?cb=20200416233917,villager_models/Dora.png,/wiki/Dora,https://nookipedia.com/w/images/d/d9/Dora_NH_Icon.png,villager_icons/Dora.png,Normal,Mouse,February 18th,squeaky,Female,Killimanjaro,Lots of milk,3,Three spoons,3,Only Me,Iconic,238,5,#fffefe,#ffffff,#87ebfe,White/Lightest Pastel,White/Light Pastels
Dotty,https://vignette.wikia.nocookie.net/animalcrossing/images/7/72/NH-Dotty_poster.png/revision/latest?cb=20200410185658,villager_models/Dotty.png,/wiki/Dotty,https://nookipedia.com/w/images/e/ea/Dotty_NH_Icon.png,villager_icons/Dotty.png,Peppy,Rabbit,March 14th,wee one,Female,Blue Mountain,Lots of milk,3,Three spoons,3,K.K. Technopop,Modern,70,4,#3f4041,#f5f7f7,#89cfd9,Mid Grey,Greys
Drago,https://vignette.wikia.nocookie.net/animalcrossing/images/5/52/NH-Drago_poster.png/revision/latest?cb=20200328200956,villager_models/Drago.png,/wiki/Drago,https://nookipedia.com/w/images/9/94/Drago_NH_Icon.png,villager_icons/Drago.png,Lazy,Alligator,February 12th,burrrn,Male,Killimanjaro,Little milk,1,One spoon,1,Imperial K.K.,Iconic,71,4,#69c646,#ffffb7,#7dd450,Green/Earth,Greens
